DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Survival in colorectal cancer (non-distant metastatic)	metastasis measurement|| colorectal cancer|| survival time	GCST003231	metastasis measurement|| colorectal cancer|| survival time	
Survival in breast cancer (TP53 expression interaction)	overall survival|| breast carcinoma|| TP53 mutation status	GCST004229	overall survival|| breast carcinoma|| TP53 mutation status	
Survival in TP53 positive breast cancer	overall survival|| TP53 Positive Breast Carcinoma	GCST004228	overall survival|| TP53 Positive Breast Carcinoma	
Survival in pancreatic cancer	overall survival|| pancreatic carcinoma	GCST004485	overall survival|| pancreatic carcinoma	
Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin	overall survival|| ovarian carcinoma|| response to cisplatin|| response to paclitaxel	GCST004896	overall survival|| ovarian carcinoma|| response to cisplatin|| response to paclitaxel	
Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel	progression free survival|| response to carboplatin|| ovarian carcinoma|| response to paclitaxel	GCST003328	progression free survival|| response to carboplatin|| ovarian carcinoma|| response to paclitaxel	
Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel	progression free survival|| ovarian carcinoma|| response to cisplatin|| response to paclitaxel	GCST004897	progression free survival|| ovarian carcinoma|| response to cisplatin|| response to paclitaxel	
Progression free survival in EGFR-mutation-positive never-smoking lung adenocarcinoma treated with gefitinib or erlotinib	progression free survival|| response to gefitinib|| response to erlotinib|| lung adenocarcinoma	GCST003794	progression free survival|| response to gefitinib|| response to erlotinib|| lung adenocarcinoma	
Survival in colorectal cancer	colorectal cancer|| survival time	GCST003229	colorectal cancer|| survival time	
Survival in breast cancer (estrogen-receptor negative)	estrogen-receptor negative breast cancer|| survival time|| breast carcinoma	GCST002902	estrogen-receptor negative breast cancer|| survival time|| breast carcinoma	
Survival in breast cancer (estrogen-receptor positive)	survival time|| estrogen-receptor positive breast cancer|| breast carcinoma	GCST002903	survival time|| estrogen-receptor positive breast cancer|| breast carcinoma	
Survival in head and neck cancer	head and neck malignant neoplasia|| survival time	GCST003541	head and neck malignant neoplasia|| survival time	
Sepsis from pneumonia (survival)	survival time|| pneumonia|| septic shock|| sepsis	GCST002725	survival time|| pneumonia|| septic shock|| sepsis	
Survival in sporadic amyotrophic lateral sclerosis	sporadic amyotrophic lateral sclerosis|| survival time	GCST003632	sporadic amyotrophic lateral sclerosis|| survival time	
Survival in endocrine treated breast cancer (estrogen-receptor positive)	survival time|| estrogen-receptor positive breast cancer|| breast carcinoma|| response to endocrine therapy	GCST002901	survival time|| estrogen-receptor positive breast cancer|| breast carcinoma|| response to endocrine therapy	
Age-related cataracts (age at onset)	age at onset|| age-related cataract	GCST002618	age at onset|| age-related cataract	
Alcohol dependence (age at onset)	age at onset|| alcohol dependence	GCST002477	age at onset|| alcohol dependence	
Alzheimer disease and age of onset	Alzheimer's disease|| age at onset	GCST003427	Alzheimer's disease|| age at onset	
Alzheimer's disease (age of onset)	Alzheimer's disease|| age at onset	GCST006120	Alzheimer's disease|| age at onset	
Alzheimer's disease (age of onset)	Alzheimer's disease|| age at onset	GCST001280	Alzheimer's disease|| age at onset	
Alzheimer's disease (survival time)	Alzheimer's disease|| survival time	GCST002775	Alzheimer's disease|| survival time	
Amyotrophic lateral sclerosis (age of onset)	amyotrophic lateral sclerosis|| age at onset	GCST001663	amyotrophic lateral sclerosis|| age at onset	
Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	attention deficit hyperactivity disorder|| bipolar disorder	GCST004002	attention deficit hyperactivity disorder|| bipolar disorder	
Frontotemporal dementia (age at onset)	age at onset|| Frontotemporal dementia	GCST006147	age at onset|| Frontotemporal dementia	
Frontotemporal dementia (age at onset)	age at onset|| Frontotemporal dementia	GCST004096	age at onset|| Frontotemporal dementia	
Frontotemporal dementia with GRN mutation (age at onset)	age at onset|| Frontotemporal dementia	GCST006149	age at onset|| Frontotemporal dementia	
Multiple myeloma (survival)	overall survival|| multiple myeloma	GCST003051	overall survival|| multiple myeloma	
Multiple sclerosis (age of onset)	multiple sclerosis|| age at onset	GCST000267	multiple sclerosis|| age at onset	
Myopia (age of diagnosis)	age at onset|| Myopia	GCST006290	age at onset|| Myopia	
Narcolepsy (age of onset)	narcolepsy with cataplexy|| age at onset	GCST002261	narcolepsy with cataplexy|| age at onset	
Non-small cell lung cancer (survival)	survival time|| non-small cell lung carcinoma	GCST002577	survival time|| non-small cell lung carcinoma	
Non-small cell lung cancer (survival)	survival time|| non-small cell lung carcinoma	GCST002032	survival time|| non-small cell lung carcinoma	
Non-small cell lung cancer (survival)	survival time|| non-small cell lung carcinoma	GCST000871	survival time|| non-small cell lung carcinoma	
Parkinson's disease (age of onset)	Parkinson's disease|| age at onset	GCST003653	Parkinson's disease|| age at onset	
Parkinson's disease (age of onset)	Parkinson's disease|| age at onset	GCST000490	Parkinson's disease|| age at onset	
"Parkinson's disease (familial, age at onset)"	Parkinson's disease|| age at onset	GCST003652	Parkinson's disease|| age at onset	
"Parkinson's disease (non-familial, age at onset)"	Parkinson's disease|| age at onset	GCST003651	Parkinson's disease|| age at onset	
Prostate cancer (survival)	survival time|| prostate carcinoma	GCST003100	survival time|| prostate carcinoma	
Spherical equivalent or myopia (age of diagnosis)	age at onset|| Myopia|| refractive error measurement	GCST006291	age at onset|| Myopia|| refractive error measurement	
Restricted and repetitive behaviours in autism spectrum disorder	autism spectrum disorder|| behavior or behavioral disorder measurement	GCST004377	 behavior or behavioral disorder measurement	autism spectrum disorder
Serum metabolite concentrations in chronic kidney disease	chronic kidney disease|| serum metabolite measurement	GCST005648	 serum metabolite measurement	chronic kidney disease
Serum metabolite ratios in chronic kidney disease	chronic kidney disease|| serum metabolite measurement	GCST005650	 serum metabolite measurement	chronic kidney disease
3-hydroxy-1-methylpropylmercapturic acid levels in smokers	smoking behavior|| 3-hydroxy-1-methylpropylmercapturic acid measurement	GCST002957	3-hydroxy-1-methylpropylmercapturic acid measurement	smoking behavior
3-hydroxypropylmercapturic acid levels in smokers	smoking behavior|| 3-hydroxypropylmercapturic acid measurement	GCST002956	3-hydroxypropylmercapturic acid measurement	smoking behavior
Change in HbA1c levels in response to metformin treatment in type 2 diabetes	A1C measurement|| type II diabetes mellitus|| response to metformin	GCST005753	A1C measurement|| response to metformin	type II diabetes mellitus
Paneth cell defects in Crohn's disease	abnormal paneth cell measurement|| Crohn's disease	GCST004251	abnormal paneth cell measurement	Crohn's disease
Acute kidney injury in critical illness	Acute kidney injury|| illness severity status	GCST003656	Acute kidney injury	illness severity status
Acute kidney injury in coronary artery bypass surgery (creatinine rise)	coronary artery bypass|| Acute kidney injury|| serum creatinine measurement	GCST002982	Acute kidney injury|| serum creatinine measurement	coronary artery bypass
Acute-on-chronic liver failure in hepatitis B	acute-on-chronic liver failure|| hepatitis B infection	GCST004165	acute-on-chronic liver failure	hepatitis B infection
Adult onset asthma in ever-smokers	smoking behavior|| adult onset asthma	GCST004222	adult onset asthma	smoking behavior
Cannabis-related aggression	Cannabis use|| aggressive behavior	GCST006175	aggressive behaviour	Cannabis use
Aggressiveness in attention deficit hyperactivity disorder	attention deficit hyperactivity disorder|| aggressive behaviour measurement|| childhood aggressive behaviour measurement	GCST003473	aggressive behaviour measurement|| childhood aggressive behaviour measurement	attention deficit hyperactivity disorder
Airway responsiveness in chronic obstructive pulmonary disease	airway responsiveness measurement|| chronic obstructive pulmonary disease	GCST002724	airway responsiveness measurement	chronic obstructive pulmonary disease
Problematic alcohol use in trauma-exposed individuals	response to trauma exposure|| alcohol dependence measurement	GCST005236	alcohol dependence measurement|| response to trauma exposure	
Allergic rhinitis in asthma	allergic rhinitis|| asthma	GCST002552	allergic rhinitis	asthma
Alloimmunization response to red blood cell transfusion in sickle cell anemia	Sickle cell anemia|| alloimmunization|| response to red blood cell transfusion	GCST002691	alloimmunization|| response to red blood cell transfusion	Sickle cell anemia
Thiopurine-induced alopecia in inflammatory bowel disease	Alopecia|| response to thiopurine|| inflammatory bowel disease	GCST006206	Alopecia|| response to thiopurine	inflammatory bowel disease
Thiopurine-induced alopecia in inflammatory bowel disease (conditioned on rs116855232)	Alopecia|| response to thiopurine|| inflammatory bowel disease	GCST006214	Alopecia|| response to thiopurine	inflammatory bowel disease
Thiopurine-induced severe alopecia in inflammatory bowel disease	Alopecia|| response to thiopurine|| inflammatory bowel disease	GCST006207	Alopecia|| response to thiopurine	inflammatory bowel disease
Thiopurine-induced severe alopecia in inflammatory bowel disease (conditioned on rs116855232)	Alopecia|| response to thiopurine|| inflammatory bowel disease	GCST006199	Alopecia|| response to thiopurine	inflammatory bowel disease
Amygdala volume in trauma-exposed individuals	response to trauma exposure|| amygdala volume	GCST005239	amygdala volume|| response to trauma exposure	
Plasma androstenedione levels in resected early stage-receptor positive breast cancer	androstenedione measurement|| estrogen-receptor positive breast cancer	GCST004363	androstenedione measurement	estrogen-receptor positive breast cancer
Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer	androstenedione measurement|| estrogen-receptor positive breast cancer|| estrone measurement	GCST004361	androstenedione measurement|| estrone measurement	estrogen-receptor positive breast cancer
Anthropometric traits in newborns	anthropometric measurement|| neonate	GCST001964	anthropometric measurement	neonate
Antibody status in Tripanosoma cruzi seropositivity	antibody measurement|| Trypanosoma cruzi seropositivity	GCST002280	antibody measurement	Trypanosoma cruzi seropositivity
Antipsychotic drug-induced weight gain in schizophrenia	schizophrenia|| antipsychotic drug related weight gain	GCST003579	antipsychotic drug related weight gain	schizophrenia
antipsychotic drug dosage in schizophrenia or schizoaffective disorder	schizophrenia|| antipsychotic drug use measurement|| schizoaffective disorder	GCST003341	antipsychotic drug use measurement	schizophrenia|| schizoaffective disorder
Anti-saccade error rate in psychotic disorders	antisaccade response measurement|| schizophrenia|| bipolar disorder|| schizoaffective disorder	GCST005027	antisaccade response measurement	schizophrenia|| bipolar disorder|| schizoaffective disorder
Anxiety in major depressive disorder	unipolar depression|| anxiety	GCST002202	anxiety	unipolar depression
AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor	AR-C124910XX measurement|| acute coronary syndrome	GCST002883	AR-C124910XX measurement	acute coronary syndrome
Asparaginase hypersensitivity in acute lymphoblastic leukemia	asparaginase hypersensitivity|| acute lymphoblastic leukemia	GCST002915	asparaginase hypersensitivity	acute lymphoblastic leukemia
Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia	asparaginase-induced acute pancreatitis|| acute lymphoblastic leukemia	GCST003500	asparaginase-induced acute pancreatitis	acute lymphoblastic leukemia
Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	asparaginase-induced acute pancreatitis|| acute lymphoblastic leukemia	GCST003501	asparaginase-induced acute pancreatitis	acute lymphoblastic leukemia
Postoperative atrial fibrillation in coronary artery bypass grafting surgery	coronary artery bypass|| atrial fibrillation	GCST002975	atrial fibrillation	coronary artery bypass
Atrioventricular septal defects in Down syndrome	Atrioventricular canal defect|| Down syndrome	GCST003047	Atrioventricular canal defect	Down syndrome
Suicide attempts in bipolar disorder	bipolar disorder|| attempted suicide	GCST001015	attempted suicide	bipolar disorder
Suicide attempts in major depressive disorder	unipolar depression|| attempted suicide	GCST002972	attempted suicide	unipolar depression
Suicide attempts in depression or bipolar disorder	unipolar depression|| bipolar disorder|| attempted suicide	GCST002503	attempted suicide	unipolar depression|| bipolar disorder
Attention function in attention deficit hyperactive disorder	attention deficit hyperactivity disorder|| attention function measurement	GCST003025	attention function measurement	attention deficit hyperactivity disorder
Gastric parietal cell autoantibody levels in type 1 diabetes	type I diabetes mellitus|| autoantibody measurement	GCST004382	autoantibody measurement	type I diabetes mellitus
Glutamate decarboxylase autoantibody levels in type 1 diabetes	type I diabetes mellitus|| autoantibody measurement	GCST004380	autoantibody measurement	type I diabetes mellitus
Insulinoma-associated antigen 2 autoantibody levels in type 1 diabetes	type I diabetes mellitus|| autoantibody measurement	GCST004381	autoantibody measurement	type I diabetes mellitus
Autoimmune hepatitis in primary sclerosing cholangitis	Autoimmune Hepatitis|| sclerosing cholangitis	GCST005853	Autoimmune Hepatitis	sclerosing cholangitis
Infective endocarditis in Staphylococcus aureus infection	bacterial endocarditis|| Staphylococcus aureus infection	GCST006805	bacterial endocarditis	Staphylococcus aureus infection
Behavioural changes in frontotemporal lobe dementia	Frontotemporal dementia|| behavior	GCST006146	behavior	Frontotemporal dementia
Temperament (bipolar disorder)	behavior or behavioral disorder measurement|| personality trait|| bipolar disorder	GCST001419	behavior or behavioral disorder measurement|| personality trait	bipolar disorder
Behavioral disturbance or psychiatric symptoms in prion disease	behavioral abnormality|| prion disease	GCST002863	behavioral abnormality	prion disease
Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	Alzheimer's disease|| beta-amyloid 1-42 measurement	GCST002531	beta-amyloid 1-42 measurement	Alzheimer's disease
Total bilirubin levels in HIV-1 infection	HIV-1 infection|| bilirubin measurement	GCST002745	bilirubin measurement	HIV-1 infection
Bilirubin levels in extreme obesity	bilirubin measurement|| obesity	GCST002628	bilirubin measurement	obesity
Bilirubin levels in tenofovir-treated HIV infection	bilirubin measurement|| response to tenofovir|| HIV infection	GCST006074	bilirubin measurement|| response to tenofovir	HIV infection
Binge eating behaviour in bipolar disorder	binge eating|| bipolar disorder	GCST005387	binge eating	bipolar disorder
Binge eating behaviour in bipolar disorder	binge eating|| bipolar disorder	GCST002420	binge eating	bipolar disorder
Bone mineral density x blood lead interaction in current smokers (1df test)	smoking behavior|| blood lead measurement|| bone density	GCST006132	blood lead measurement|| bone density	smoking behavior
Bone mineral density x blood lead interaction in current smokers (2df test)	smoking behavior|| blood lead measurement|| bone density	GCST006133	blood lead measurement|| bone density	smoking behavior
Waist circumference adjusted for BMI in active individuals	BMI-adjusted waist circumference|| physical activity measurement	GCST004564	BMI-adjusted waist circumference	physical activity measurement
Waist circumference adjusted for BMI in inactive individuals	BMI-adjusted waist circumference|| physical activity measurement	GCST004565	BMI-adjusted waist circumference	physical activity measurement
Waist circumference adjusted for BMI in smokers	smoking behavior|| BMI-adjusted waist circumference	GCST004503	BMI-adjusted waist circumference	smoking behavior
Waist-to-hip ratio adjusted for BMI in active individuals	BMI-adjusted waist-hip ratio|| physical activity measurement	GCST004578	BMI-adjusted waist-hip ratio	physical activity measurement
Waist-to-hip ratio adjusted for BMI in inactive individuals	BMI-adjusted waist-hip ratio|| physical activity measurement	GCST004577	BMI-adjusted waist-hip ratio	physical activity measurement
Waist-to-hip ratio adjusted for BMI in smokers	smoking behavior|| BMI-adjusted waist-hip ratio	GCST004509	BMI-adjusted waist-hip ratio	smoking behavior
Fat distribution (HIV)	HIV-1 infection|| body fat distribution	GCST001343	body fat distribution	HIV-1 infection
Body mass index in asthmatics	body mass index|| asthma	GCST001945	body mass index	asthma
Body mass in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| body mass index	GCST000850	body mass index	chronic obstructive pulmonary disease
Body mass index in physically active individuals	physical activity measurement|| body mass index	GCST004559	body mass index	physical activity measurement
Body mass index in physically inactive individuals	physical activity measurement|| body mass index	GCST004560	body mass index	physical activity measurement
BMI in smokers	smoking behavior|| body mass index	GCST004498	body mass index	smoking behavior
Weight loss (gastric bypass surgery)	gastric bypass|| body weight loss	GCST001991	body weight loss	gastric bypass
Weight loss (gastric bypass surgery)	gastric bypass|| body weight loss	GCST001985	body weight loss	gastric bypass
Bone fracture in osteoporosis	bone fracture|| osteoporosis	GCST004403	bone fracture	osteoporosis
Bone mineral accretion in asthma (oral corticosteroid dose interaction)	bone mineral accretion measurement|| response to corticosteroid|| asthma	GCST002926	bone mineral accretion measurement|| response to corticosteroid	asthma
Breast Cancer in BRCA1 mutation carriers	carrier status|| breast carcinoma	GCST005075	breast carcinoma	carrier status
Breast cancer in childhood cancer survivors	breast carcinoma|| childhood cancer	GCST005111	breast carcinoma	childhood cancer
Breast cancer in childhood cancer survivors treated with less than 10 gray radiotherapy	breast carcinoma|| childhood cancer	GCST005110	breast carcinoma	childhood cancer
Breslow thickness in cutaneous melanoma	cutaneous melanoma|| Breslow thickness	GCST003639	Breslow thickness	cutaneous melanoma
Bronchopulmonary dysplasia in preterm infants	Bronchopulmonary dysplasia|| premature birth	GCST006460	Bronchopulmonary dysplasia	premature birth
C-peptide levels in type I diabetes	C-peptide measurement|| type I diabetes mellitus	GCST005436	C-peptide measurement	type I diabetes mellitus
Fasting C-peptide levels in type I diabetes	C-peptide measurement|| type I diabetes mellitus	GCST005438	C-peptide measurement	type I diabetes mellitus
Random C-peptide levels in type I diabetes	C-peptide measurement|| type I diabetes mellitus	GCST005437	C-peptide measurement	type I diabetes mellitus
Stimulated C-peptide levels in type I diabetes	C-peptide measurement|| type I diabetes mellitus	GCST005435	C-peptide measurement	type I diabetes mellitus
C-reactive protein levels in ischemic stroke	Ischemic stroke|| C-reactive protein measurement	GCST003211	C-reactive protein measurement	Ischemic stroke
Exhaled carbon monoxide levels in smokers with chronic obstructive pulmonary disease	smoking status measurement|| chronic obstructive pulmonary disease|| carbon monoxide exhalation measurement	GCST005919	carbon monoxide exhalation measurement	smoking status measurement|| chronic obstructive pulmonary disease
Cardiomyopathy in childhood cancer survivors	childhood cancer|| cardiomyopathy	GCST003299	cardiomyopathy	childhood cancer
Anthracycline-induced cardiotoxicity in childhood cancer	childhood cancer|| cardiotoxicity|| response to anthracycline-based chemotherapy	GCST003062	cardiotoxicity|| response to anthracycline-based chemotherapy	childhood cancer
Cardiovascular heart disease in diabetics	cardiovascular disease|| type II diabetes mellitus	GCST002153	cardiovascular disease	type II diabetes mellitus
Cardiovascular disease in hypertension (ACE inhibitor interaction)	hypertension|| cardiovascular disease|| response to angiotensin-converting enzyme inhibitor	GCST003186	cardiovascular disease|| response to angiotensin-converting enzyme inhibitor	hypertension
Cardiovascular disease in hypertension (calcium channel blocker interaction)	hypertension|| cardiovascular disease|| response to calcium channel blocker	GCST003205	cardiovascular disease|| response to calcium channel blocker	hypertension
Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)	response to darapladib|| acute coronary syndrome|| coronary heart disease|| cardiovascular event measurement	GCST004958	cardiovascular event measurement|| response to darapladib	acute coronary syndrome|| coronary heart disease
Major coronary event in placebo-treated cardiovascular disease (time to event)	acute coronary syndrome|| coronary heart disease|| cardiovascular event measurement|| response to placebo	GCST004961	cardiovascular event measurement|| response to placebo	acute coronary syndrome|| coronary heart disease
Cataracts in type 2 diabetes	cataract|| type II diabetes mellitus	GCST001736	cataract	type II diabetes mellitus
Caudate volume in trauma-exposed individuals	response to trauma exposure|| caudate nucleus volume	GCST005240	caudate nucleus volume|| response to trauma exposure	
Cerebral amyloid deposition in APOEe4 carriers (PET imaging)	APOE carrier status|| cerebral amyloid deposition measurement	GCST003076	cerebral amyloid deposition measurement	APOE carrier status
Cerebrospinal fluid clusterin levels in APOEe4+ carriers	APOE carrier status|| cerebrospinal fluid clusterin measurement	GCST003131	cerebrospinal fluid clusterin measurement	APOE carrier status
Chagas cardiomyopathy in Tripanosoma cruzi seropositivity	Chagas cardiomyopathy|| Trypanosoma cruzi seropositivity	GCST002285	Chagas cardiomyopathy	Trypanosoma cruzi seropositivity
Cholangiocarcinoma in primary sclerosing cholangitis	cholangiocarcinoma|| sclerosing cholangitis	GCST005855	cholangiocarcinoma	sclerosing cholangitis
Cholelithiasis-related traits in sickle cell anemia	Sickle cell anemia|| cholelithiasis|| bilirubin measurement	GCST001497	cholelithiasis|| bilirubin measurement	Sickle cell anemia
Chronic bronchitis in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| chronic bronchitis	GCST002621	chronic bronchitis	chronic obstructive pulmonary disease
End stage renal disease in APOL1 risk genotype-negative individuals	chronic kidney disease|| APOL1 risk genotype carrier status	GCST006815	chronic kidney disease	APOL1 risk genotype carrier status
End stage renal disease in APOL1 risk genotype-positive individuals	chronic kidney disease|| APOL1 risk genotype carrier status	GCST006816	chronic kidney disease	APOL1 risk genotype carrier status
Chronic kidney disease in diabetes	chronic kidney disease|| diabetes mellitus	GCST005880	chronic kidney disease	diabetes mellitus
End-stage renal disease in diabetes	chronic kidney disease|| diabetes mellitus	GCST005886	chronic kidney disease	diabetes mellitus
End stage renal failure in renal transplantation (recipient effect)	renal transplant outcome measurement|| chronic kidney disease	GCST005427	chronic kidney disease	renal transplant outcome measurement
End-stage renal disease in Type 1 diabetics	type I diabetes mellitus|| chronic kidney disease	GCST002182	chronic kidney disease	type I diabetes mellitus
Chronic kidney disease in type 2 diabetes	chronic kidney disease|| type II diabetes mellitus	GCST005882	chronic kidney disease	type II diabetes mellitus
End-stage renal disease in type 2 diabetes	chronic kidney disease|| type II diabetes mellitus	GCST005885	chronic kidney disease	type II diabetes mellitus
Chronic kidney disease and diabetic kidney disease in diabetes	chronic kidney disease|| diabetes mellitus|| diabetic nephropathy	GCST005884	chronic kidney disease|| diabetic nephropathy	diabetes mellitus
End-stage renal disease or diabetic nephropathy in type 1 diabetes	type I diabetes mellitus|| chronic kidney disease|| diabetic nephropathy	GCST002464	chronic kidney disease|| diabetic nephropathy	type I diabetes mellitus
Chronic kidney disease and diabetic kidney disease in type 2 diabetes	chronic kidney disease|| diabetic nephropathy|| type II diabetes mellitus	GCST005883	chronic kidney disease|| diabetic nephropathy	type II diabetes mellitus
Chronic mucus hypersecretion in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease|| chronic mucus hypersecretion	GCST002612	chronic mucus hypersecretion	chronic obstructive pulmonary disease
Clostridium difficile infection in multiple myeloma	clostridium difficile infection|| multiple myeloma	GCST005686	clostridium difficile infection	multiple myeloma
Response to cognitive-behavioural therapy in anxiety disorder	anxiety disorder|| cognitive behavioural therapy	GCST003469	cognitive behavioural therapy	anxiety disorder
Cognitive decline rate in late mild cognitive impairment	cognitive impairment|| cognitive decline measurement	GCST003075	cognitive decline measurement	cognitive impairment
Rate of cognitive decline in mild cognitive impairment (time interaction)	cognitive impairment|| cognitive decline measurement|| disease progression measurement	GCST004371	cognitive decline measurement|| disease progression measurement	cognitive impairment
Neurocognitive impairment in HIV-1 infection (continuous)	HIV-1 infection|| cognitive impairment measurement	GCST004406	cognitive impairment measurement	HIV-1 infection
Neurocognitive impairment in HIV-1 infection (dichotomous)	HIV-1 infection|| cognitive impairment measurement	GCST004407	cognitive impairment measurement	HIV-1 infection
Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder	attention deficit hyperactivity disorder|| cognitive inhibition measurement	GCST004336	cognitive inhibition measurement	attention deficit hyperactivity disorder
Colorectal carcinoma in primary sclerosing cholangitis	colorectal cancer|| sclerosing cholangitis	GCST005856	colorectal cancer	sclerosing cholangitis
Mucinous adenocarcinoma in colorectal cancer	colorectal cancer|| colorectal mucinous adenocarcinoma	GCST006411	colorectal mucinous adenocarcinoma	colorectal cancer
Common carotid intima-media thickness in HIV infection	common carotid intimal medial thickness|| HIV infection	GCST005184	common carotid intimal medial thickness	HIV infection
Carotid atherosclerosis in HIV infection	HIV-1 infection|| common carotid intimal medial thickness|| internal carotid intimal medial thickness|| carotid artery disease	GCST000555	common carotid intimal medial thickness|| internal carotid intimal medial thickness|| carotid artery disease	HIV-1 infection
Pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio)	unipolar depression|| schizophrenia|| bipolar disorder|| concentration dose ratio|| response to anticonvulsant	GCST002887	concentration dose ratio|| response to anticonvulsant	unipolar depression|| schizophrenia|| bipolar disorder
Pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio)	unipolar depression|| schizophrenia|| bipolar disorder|| concentration dose ratio|| response to antidepressant	GCST002891	concentration dose ratio|| response to antidepressant	unipolar depression|| schizophrenia|| bipolar disorder
Pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio)	unipolar depression|| schizophrenia|| bipolar disorder|| concentration dose ratio|| response to antipsychotic drug	GCST002888	concentration dose ratio|| response to antipsychotic drug	unipolar depression|| schizophrenia|| bipolar disorder
Coronary arterial lesions in patients with Kawasaki disease	mucocutaneous lymph node syndrome|| coronary aneurysm	GCST002026	coronary aneurysm	mucocutaneous lymph node syndrome
Coronary arterial lesions in patients with Kawasaki disease	mucocutaneous lymph node syndrome|| coronary aneurysm	GCST001878	coronary aneurysm	mucocutaneous lymph node syndrome
Coronary artery aneurysm in Kawasaki disease	mucocutaneous lymph node syndrome|| coronary aneurysm	GCST003560	coronary aneurysm	mucocutaneous lymph node syndrome
